Size,Name,Comparisons,Exchanges,Time Taken,
64,Insertion Sort,1168, 1042, 0.0,
64,Quick Sort,133, 133, 0.0,
64,Tim Sort,3, 3, 0.0,
128,Insertion Sort,4106, 3852, 0.0,
128,Quick Sort,499, 499, 0.0,
128,Tim Sort,7, 7, 0.0,
256,Insertion Sort,17569, 17059, 1.0,
256,Quick Sort,894, 894, 0.0,
256,Tim Sort,15, 15, 0.0,
512,Insertion Sort,67650, 66628, 2.0,
512,Quick Sort,3064, 3064, 0.0,
512,Tim Sort,31, 31, 1.0,
1024,Insertion Sort,267232, 265186, 0.0,
1024,Quick Sort,5760, 5760, 1.0,
1024,Tim Sort,63, 63, 0.0,
2048,Insertion Sort,1056137, 1052043, 3.0,
2048,Quick Sort,14709, 14709, 1.0,
2048,Tim Sort,127, 127, 0.0,
4096,Insertion Sort,4238239, 4230049, 4.0,
4096,Quick Sort,25763, 25763, 1.0,
4096,Tim Sort,255, 255, 0.0,
8192,Insertion Sort,16864829, 16848447, 17.0,
8192,Quick Sort,58658, 58658, 0.0,
8192,Tim Sort,511, 511, 1.0,
16384,Insertion Sort,67569037, 67536271, 65.0,
16384,Quick Sort,124321, 124321, 2.0,
16384,Tim Sort,1023, 1023, 3.0,
32768,Insertion Sort,268291108, 268225574, 252.0,
32768,Quick Sort,240540, 240540, 4.0,
32768,Tim Sort,2047, 2047, 7.0,
65536,Insertion Sort,1073162347, 1073031277, 1081.0,
65536,Quick Sort,533165, 533165, 5.0,
65536,Tim Sort,4095, 4095, 3.0,
